"id","arquivo","numero_aula","titulo","subtitulo","professor","disciplina","num_slides","topicos","conceitos","referencias","objetivos","resumo","caminho_pdf"
"1","Aula 1.pdf","1","Aula 1 - Introdução ao Curso","Introdução ao Curso","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","27","Introdu¸c˜ao ao Curso; Sobre a Disciplina; Experimenta¸c˜ao; Sobre o Professor; Planejamento da Disciplina; Regras e Combinados; Primeiras Defini¸c˜oes","Métricas de Software; Medição de Software; Experimentação; Lead Time; Produtividade","","","A disciplina de Medi¸c˜ao e Experimenta¸c˜ao em Engenharia de Software ´e fundamental em um curso de gradua¸c˜ao porque forma a base para decis˜oes t´ecnicas baseadas em dados, promove a qualidade do software e prepara os estudantes para um ambiente profissional onde evidˆencias | O processo de medi¸c˜ao est´a presente diariamente em tudo o que fazemos. Exemplos: Culin´aria, sono, academia, comunica¸c˜ao social, relacionamentos, sede, fome, uso de celular, rel´ogio, computadores, ar condicionado, dire¸c˜ao de carros e motos, cortes de cabelo. | Uma empresa decidiu trocar sua arquitetura monol´ıtica por microsservi¸cos. Sem medi¸c˜oes, n˜ao perceberam que a complexidade aumentou e o tempo de entrega triplicou. Medir m´etricas como lead time, n´umero de bugs ou | A Microsoft mede tempo m´edio de resolu¸c˜ao de bugs por equipe e, com isso, promove ajustes de pr´aticas ´ageis que aumentam eficiˆencia e | Grandes empresas como Google, Meta, Microsoft e iFood usam experimentos A/B, m´etri...","../data/medicao/raw/aulas/Aula 1.pdf"
"2","Aula 2 - Escopo e Normas de Medição de Software.pdf","2","Aula 2 - Escopo e Normas de Medição de Software","Escopo e Normas de Medição de Software","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","50","Medi¸c˜ao; Relevˆancia; Objetivos da Medi¸c˜ao de Software; Escopo das M´etricas de Software; Estimativa de custo e esfor¸co; Coleta de Dados; Modelos e medidas de qualidade; Modelos de Confiabilidade; M´etricas de Seguran¸ca; M´etricas estruturais e de complexidade; Avalia¸c˜ao de maturidade de capacidade; Gest˜ao por M´etricas; Avalia¸c˜ao de M´etodos e Ferramentas; Normas Internacionais; Artigos Recomendados","Métricas de Software; Medição de Software; Experimentação; CMMI; ISO/IEC 9126; ISO/IEC 15939; Acoplamento; COCOMO; Produtividade; Confiabilidade; Manutenibilidade; Qualidade de Software","","da Medi¸c˜ao de Software 2 Escopo das M´etricas de Software Estimativa de custo e esfor¸co Coleta de Dados Modelos e medidas de qualidade Modelos de Confiabilidade M´etricas de Seguran¸ca M´etricas estruturais e de complexidade Avalia¸c˜ao de maturidade de capacidade Gest˜ao por M´etricas Avalia¸c˜ao de M´etodos e Ferramentas 3 Normas Internacionais 4 Artigos Recomendados Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 2 / 50; da Medi¸c˜ao de Software 2 Escopo das M´etricas de Software Estimativa de custo e esfor¸co Coleta de Dados Modelos e medidas de qualidade Modelos de Confiabilidade M´etricas de Seguran¸ca M´etricas estruturais e de complexidade Avalia¸c˜ao de maturidade de capacidade Gest˜ao por M´etricas Avalia¸c˜ao de M´etodos e Ferramentas 3 Normas Internacionais 4 Artigos Recomendados Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 3 / 50; da Medi¸c˜ao de Software A medi¸c˜ao provˆe feedback para o objetivo proposto. Portanto, antes de definir a medi¸c˜ao a ser feita, ´e importante definir os objetivos que se deseja alcan¸car. Figura 2: Sistema com Feedback Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 8 / 50; da Medi¸c˜ao de Software Stakeholders: Managers Developers Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 9 / 50; do produto? E dos processos exigidos para que o software seja funcional? Qual porcentagem dos objetivos foi cumprida? Como correlacionar o que foi de fato entregue aos objetivos? 4 O que acontecer´a no futuro? ´E poss´ıvel predizer baseado no presente? As informa¸c˜oes hist´oricas podem ser utilizadas cumulativamente para predizer tendˆencias do c´odigo? Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 11 / 50","Seria dif´ıcil imaginar as engenharias Civil, El´etrica ou Mecˆanica sem o papel central da medi¸c˜ao. Seja na ciˆencia ou engenharia n˜ao seriam | Requisitos n˜ao-funcionais: Prometemos que o sistema ser´a user-friendly, confi´avel e sustent´avel sem especificar claramente e objetivamente o que isso significa. Dessa forma, n˜ao temos um | Custos: Falhamos em entender e quantificar os custos dos projetos de software. Custos de design, codifica¸c˜ao, testes. Medir | Novas ferramentas: Aceitamos inova¸c˜ao de ferramentas disruptivas apenas pela promessa, sem avaliar de forma criteriosa, sistem´atica e cient´ıfica se a nova proposta, nova t´ecnica ou nova ferramenta se prop˜oem, com algum probabilidade, a aumentar a | Tamb´em ´e comum n˜ao avaliarmos a procedˆencia das informa¸c˜oes. De onde o dado veio? Como foi o processo de medi¸c˜ao? Qual a margem de erro? Que garantias temos a respeito da qualidade, acur´acia, abrangˆencia, universo amostral? Quais as referˆencias para | Como dize...","../data/medicao/raw/aulas/Aula 2 - Escopo e Normas de Medição de Software.pdf"
"3","Aula 3 - Introdução à Experimentação.pdf","3","Aula 3 - Introdução à Experimentação","Introdução à Experimentação","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","25","Objetivos da Aula; M´etodos Emp´ıricos; Defini¸c˜oes; Tipos de M´etodos Emp´ıricos; Experimento Controlado; Dicas para Relat´orios","Métricas de Software; GQM (Goal-Question-Metric); Medição de Software; Experimentação; Validade Interna; Estudo de Caso","","da Aula 2 M´etodos Emp´ıricos Defini¸c˜oes Tipos de M´etodos Emp´ıricos Experimento Controlado Dicas para Relat´orios Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 2 / 25; da Aula 2 M´etodos Emp´ıricos Defini¸c˜oes Tipos de M´etodos Emp´ıricos Experimento Controlado Dicas para Relat´orios Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 3 / 25; da Aula O que vamos aprender hoje: Entender o que ´e experimenta¸c˜ao emp´ırica Compreender como estruturamos um experimento Avaliar por que e como experimentamos na engenharia de software Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 4 / 25; da Aula 2 M´etodos Emp´ıricos Defini¸c˜oes Tipos de M´etodos Emp´ıricos Experimento Controlado Dicas para Relat´orios Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 5 / 25; Estabelecer claramente o que se deseja investigar e por quˆe. Formular hip´oteses: Criar a hip´otese nula (H) e a alternativa (H). Exemplo: H – TDD e desenvolvimento tradicional produzem a mesma quantidade de defeitos; H – TDD produz menos defeitos. Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 16 / 25","Formular hip´oteses: Criar a hip´otese nula (H) e a alternativa (H). Exemplo: H – TDD e desenvolvimento tradicional produzem a mesma quantidade de defeitos; H – TDD produz | Planejar vari´aveis: Definir as vari´aveis independentes (manipuladas), dependentes (observadas) e de controle | Selecionar participantes: Escolher sujeitos com crit´erios claros (ex: n´ıvel de experiˆencia) e dividir aleatoriamente em grupos, | Elaborar material experimental: Criar tarefas padronizadas, definir ambiente de execu¸c˜ao, recursos e orienta¸c˜oes para | Executar o experimento: Aplicar o experimento com os participantes reais, garantindo controle sobre o ambiente e coleta | Coletar e organizar os dados: Registrar dados quantitativos e qualitativos com m´etodos consistentes, seguros e rastre´aveis. | Analisar os resultados: Aplicar t´ecnicas estat´ısticas apropriadas para verificar significˆancia e tamanho de efeito; discutir amea¸cas | Interpretar os achados: Relacionar os resultados `as hip´oteses,...","../data/medicao/raw/aulas/Aula 3 - Introdução à Experimentação.pdf"
"4","Aula 4 - Entidades, Atributos e Objetivos de Medição.pdf","4","Aula 4 - Entidades, Atributos e Objetivos de Medição","Entidades, Atributos e Objetivos de Medição","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","40","Objetivos da Aula; Entidades; Tipos de Entidades; Atributos; Aspectos de Medi¸c˜ao; Escalas e Representa¸c˜oes; Goal-Question-Metric Framework; GQM: Contexto e Uso; GQM: Template","Métricas de Software; GQM (Goal-Question-Metric); Medição de Software; Experimentação; LOC/SLOC; Produtividade","","de Medi¸c˜ao Prof. Danilo de Quadros Maia Filho Departamento: Engenharia de Software Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 1 / 40; da Aula 2 Entidades Tipos de Entidades Atributos 3 Aspectos de Medi¸c˜ao Medi¸c˜ao Direta ou Derivada Escalas e Representa¸c˜oes 4 Goal-Question-Metric Framework GQM: Contexto e Uso GQM: Template Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 2 / 40; da Aula 2 Entidades Tipos de Entidades Atributos 3 Aspectos de Medi¸c˜ao Medi¸c˜ao Direta ou Derivada Escalas e Representa¸c˜oes 4 Goal-Question-Metric Framework GQM: Contexto e Uso GQM: Template Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 3 / 40; da Aula O que vamos aprender hoje: Definir formalmente: Entidades e Atributos Caracter´ısticas de Atributos Escalas e Representa¸c˜oes Framework para aplica¸c˜ao de Medi¸c˜ao M´etodo para defini¸c˜ao sistematizada de objetivos Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 4 / 40; da Aula 2 Entidades Tipos de Entidades Atributos 3 Aspectos de Medi¸c˜ao Medi¸c˜ao Direta ou Derivada Escalas e Representa¸c˜oes 4 Goal-Question-Metric Framework GQM: Contexto e Uso GQM: Template Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 5 / 40","Products: Artifacts, deliverables, or documents that result from a process activity | A process is usually associated with some time scale. Process activities have duration—they occur over time, and they may be ordered or related in some way that depends on time, so that one activity must be completed before another can begin. The timing can be explicit, as when design must be complete by October 31, or implicit, as when a flow diagram shows that design must be | Examples: development process, maintenance process, the reuse process, the configuration | Resources and products are associated with a process. Each process activity uses resources and products, and produces products. Thus, the product of one activity may feed another activity. For example, a design document can be the product of the design activity, which is then used as an | Internal attributes: Attributes that can be measured purely in terms of the product, process, or resource itself. An internal attribute can be measu...","../data/medicao/raw/aulas/Aula 4 - Entidades, Atributos e Objetivos de Medição.pdf"
"5","Aula 5 - Medições de Produto, Processo e Recurso.pdf","5","Aula 5 - Medições de Produto, Processo e Recurso","Medições de Produto, Processo e Recurso","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","117","Objetivos da Aula; Size; Code Size; Design Size; Requirement Size; Functional Size; M´etricas inspiradas em Normas; ISO/IEC 25010; ISO/IEC 15939; ISO/IEC 1061; IEEE Std 982.1 (1988); ISO/IEC 12207; SPICE/ISO/IEC 15504; CMMI; M´etricas Diversas; COCOMO; McCall’s Quality Model; CK Metrics; M´etricas de Halstead; M´etricas de Fenton & Pfleeger","Métricas de Software; Medição de Software; Experimentação; LOC/SLOC; Pontos de Função; CMMI; ISO/IEC 25010; ISO/IEC 15939; Acoplamento; Coesão; Halstead; McCabe; COCOMO; Velocity; Lead Time; DORA Metrics; Produtividade; Confiabilidade; Manutenibilidade; Qualidade de Software","","da Aula 2 Size Code Size Design Size Requirement Size Functional Size 3 M´etricas inspiradas em Normas ISO/IEC 25010 ISO/IEC 15939 ISO/IEC 1061 IEEE Std 982.1 (1988) ISO/IEC 12207 SPICE/ISO/IEC 15504 CMMI 4 M´etricas Diversas COCOMO McCall’s Quality Model CK Metrics M´etricas de Halstead M´etricas de Fenton & Pfleeger (1990s, 2010s) M´etricas DORA Team Topologies Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 2 / 117; da Aula 2 Size Code Size Design Size Requirement Size Functional Size 3 M´etricas inspiradas em Normas ISO/IEC 25010 ISO/IEC 15939 ISO/IEC 1061 IEEE Std 982.1 (1988) ISO/IEC 12207 SPICE/ISO/IEC 15504 CMMI 4 M´etricas Diversas COCOMO McCall’s Quality Model CK Metrics M´etricas de Halstead M´etricas de Fenton & Pfleeger (1990s, 2010s) M´etricas DORA Team Topologies Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 3 / 117; da Aula O que vamos aprender: Equa¸c˜oes e defini¸c˜oes de m´etricas utilizadas tanto pela comunidade cient´ıfica quanto pelo mercado Atributos diversos de Produto, Recurso e Processo Atributos Internos de Produto Atributos Externos de Produto M´etricas diversas j´a padronizadas e aceitas pela literatura Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 4 / 117; da Aula 2 Size Code Size Design Size Requirement Size Functional Size 3 M´etricas inspiradas em Normas ISO/IEC 25010 ISO/IEC 15939 ISO/IEC 1061 IEEE Std 982.1 (1988) ISO/IEC 12207 SPICE/ISO/IEC 15504 CMMI 4 M´etricas Diversas COCOMO McCall’s Quality Model CK Metrics M´etricas de Halstead M´etricas de Fenton & Pfleeger (1990s, 2010s) M´etricas DORA Team Topologies Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 6 / 117; da Aula 2 Size Code Size Design Size Requirement Size Functional Size 3 M´etricas inspiradas em Normas ISO/IEC 25010 ISO/IEC 15939 ISO/IEC 1061 IEEE Std 982.1 (1988) ISO/IEC 12207 SPICE/ISO/IEC 15504 CMMI 4 M´etricas Diversas COCOMO McCall’s Quality Model CK Metrics M´etricas de Halstead M´etricas de Fenton & Pfleeger (1990s, 2010s) M´etricas DORA Team Topologies Prof. Danilo Maia (Puc Minas) Medi¸c˜ao e Experimenta¸c˜ao em Eng. de Soft. 04/08/2025 10 / 117",". . . there is a major problem with the lines-of-code mea- sure: it is not consistent because some lines are more difficult to code than others . . . . One solution to the problem is to give more weight to lines that have more ‘stuff’ in them. | Embora uma m´etrica em si possa n˜ao ter informa¸c˜oes suficientes para tomadas de decis˜ao, n˜ao a rejeitamos. Ela vai compor um grupo de | Conhecer o tamanho da maioria dos produtos de desenvolvimento pode ser muito ´util. O tamanho de uma especifica¸c˜ao de requisitos pode prever o tamanho e a complexidade de um projeto, o que, por sua vez, pode prever o tamanho do c´odigo. Os atributos de tamanho do projeto e do c´odigo podem determinar o esfor¸co necess´ario para os testes, bem como o esfor¸co exigido para adicionar novas funcionalidades. As medidas de tamanho s˜ao comumente usadas para indicar a quantidade de reutiliza¸c˜ao em um sistema. | Devemos ter muito cuidado para esclarecer o que estamos contando e como estamos contando. Em par...","../data/medicao/raw/aulas/Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"6","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf","7","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese","Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","46","Variáveis Aleatórias Discretas; Variáveis Aleatórias Contínuas; Teste de Hipótese Estatística","Métricas de Software; Medição de Software; Experimentação; Hipótese Nula/Alternativa; Teste de Hipótese; Distribuição Normal; Desvio Padrão; Média/Mediana; População; Nível de Significância; Intervalo de Confiança","","é visualizar as regiões de rejeição e compreender o conceito de região crítica. É um teste didático ou teórico, com foco na interpretação gráfica da distribuição t. Vantagem: reforça a compreensão conceitual do teste. Limitação: exige o uso de tabelas t e depende da definição prévia de α. Prof. Danilo Maia (Puc Minas) Medição e Experimentação em Eng. de Soft. Maio/2026 36 / 46","Mediana: valor que divide o conjunto de dados ordenados de tal modo que o mesmo número de observações ocorre nos dois lados. Para um valor ímpar de dados, a mediana é o valor central. Para um valor par de dados, a mediana é a média entre os dois valores | Desvio padrão: raiz quadrada da variância. Ao contrário da variância, apresenta as mesmas unidades dos dados originais. | Definição: Chama-se de experimento binomial ao experimento (a) que consiste em n ensaios de Bernoulli; (b) cujos ensaios são independentes; e (c) para o qual a probabilidade de sucesso em cada | Definição: A variável aleatória X, correspondente ao número de sucessos num experimento binomial, tem distribuição binomial b(n, p), | Definição: A probabilidade de que existam exatamente k ocorrências (k sendo um inteiro não negativo, k = 0, 1, 2, ...) é | Propriedade: A integral de uma função de densidade de probabilidade (f.d.p.) sobre todo o seu domínio é igual a 1. Isso é uma propriedade fundamental de qualquer dist...","../data/medicao/raw/aulas/Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf"
"7","Aula 8 - Processo de Experimentos.pdf","8","Aula 8 - Processo de Experimentos","Processo de Experimentos","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","58","Tipos de Pesquisa; Estratégias Empíricas; Experiment Process; Escopo e Objetivo; Etapas do Planejamento; Ameaças à Validade; Operação do Experimento; Analysis and Interpretation; Exemplo Experimento; Survey (levantamento); Questionários/entrevistas estruturadas.; Visão ampla de práticas, percepções, características.; Experimental; Manipulação de variáveis e comparação de grupos.; Ex.: comparar duas técnicas de desenvolvimento.","Métricas de Software; Medição de Software; Experimentação; Variáveis Dependentes/Independentes; Hipótese Nula/Alternativa; Teste de Hipótese; Validade Interna; Validade Externa; Estudo de Caso; Survey; Dívida Técnica; Lead Time; Qualidade de Software; Amostragem; População; Nível de Significância","","Etapas do Planejamento Ameaças à Validade Operação do Experimento Analysis and Interpretation 3 Exemplo Experimento Prof. Danilo Maia (Puc Minas) Medição e Experimentação em Eng. de Soft. 2o/2025 2 / 58; Etapas do Planejamento Ameaças à Validade Operação do Experimento Analysis and Interpretation 3 Exemplo Experimento Prof. Danilo Maia (Puc Minas) Medição e Experimentação em Eng. de Soft. 2o/2025 3 / 58; — exploratória / descritiva / explicativa 3 Abordagem — qualitativa / quantitativa / mista 4 Procedimentos — bibliográfica, documental, estudo de caso, survey, experimental etc. 5 Tempo — transversal / longitudinal 6 Controle — experimental / quase / não experimental 7 Evidência — hierarquia dos níveis científicos Prof. Danilo Maia (Puc Minas) Medição e Experimentação em Eng. de Soft. 2o/2025 4 / 58; principal: ampliar o conhecimento teórico. Não há aplicação prática imediata. Ex.: modelos teóricos de qualidade de software. Aplicada Objetivo principal: resolver problemas concretos. Foco em contextos específicos (empresa, produto, processo). Ex.: avaliar impacto de CI/CD no lead time de entrega. Prof. Danilo Maia (Puc Minas) Medição e Experimentação em Eng. de Soft. 2o/2025 5 / 58; Etapas do Planejamento Ameaças à Validade Operação do Experimento Analysis and Interpretation 3 Exemplo Experimento Prof. Danilo Maia (Puc Minas) Medição e Experimentação em Eng. de Soft. 2o/2025 12 / 58","Foco em contextos específicos (empresa, produto, processo). Ex.: avaliar impacto de CI/CD no lead time de entrega. | Nem todos os tipos de estudo produzem evidência com a mesma força. Conceito inspirado na medicina baseada em evidências. | Nula: Uma hipótese nula afirma que não existem tendências ou padrões reais subjacentes no contexto do experimento; as únicas razões para as diferenças em nossas observações são coincidenciais. Essa é a hipótese que o experimentador deseja rejeitar com o maior nível de significância possível. Um exemplo de hipótese é que um novo método de inspeção encontra, em média, o mesmo número de falhas que o método antigo (=). Alternativa: é a hipótese em favor da qual a hipótese nula é rejeitada. Um exemplo seria que o novo método de inspeção encontra, em média, mais falhas do que o método antigo (<). | Dependentes -> Resultado do experimento: preferencialmente uma*, e relacionada com a hipótese. Pode ser medida direta ou indiretamente. *(menor risco de cont...","../data/medicao/raw/aulas/Aula 8 - Processo de Experimentos.pdf"
