"id","arquivo","numero_aula","titulo","subtitulo","professor","disciplina","num_slides","topicos","caminho_pdf"
"1","Aula 1.pdf","1","Aula 1 - Introdução ao Curso","Introdução ao Curso","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","27","Introdu¸c˜ao ao Curso; Sobre a Disciplina; Experimenta¸c˜ao; Sobre o Professor; Planejamento da Disciplina; Regras e Combinados; Primeiras Defini¸c˜oes","aulas/Aula 1.pdf"
"2","Aula 2 - Escopo e Normas de Medição de Software.pdf","2","Aula 2 - Escopo e Normas de Medição de Software","Escopo e Normas de Medição de Software","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","50","Medi¸c˜ao; Relevˆancia; Objetivos da Medi¸c˜ao de Software; Escopo das M´etricas de Software; Estimativa de custo e esfor¸co; Coleta de Dados; Modelos e medidas de qualidade; Modelos de Confiabilidade; M´etricas de Seguran¸ca; M´etricas estruturais e de complexidade; Avalia¸c˜ao de maturidade de capacidade; Gest˜ao por M´etricas; Avalia¸c˜ao de M´etodos e Ferramentas; Normas Internacionais; Artigos Recomendados","aulas/Aula 2 - Escopo e Normas de Medição de Software.pdf"
"3","Aula 3 - Introdução à Experimentação.pdf","3","Aula 3 - Introdução à Experimentação","Introdução à Experimentação","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","25","Objetivos da Aula; M´etodos Emp´ıricos; Defini¸c˜oes; Tipos de M´etodos Emp´ıricos; Experimento Controlado; Dicas para Relat´orios","aulas/Aula 3 - Introdução à Experimentação.pdf"
"4","Aula 4 - Entidades, Atributos e Objetivos de Medição.pdf","4","Aula 4 - Entidades, Atributos e Objetivos de Medição","Entidades, Atributos e Objetivos de Medição","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","40","Objetivos da Aula; Entidades; Tipos de Entidades; Atributos; Aspectos de Medi¸c˜ao; Escalas e Representa¸c˜oes; Goal-Question-Metric Framework; GQM: Contexto e Uso; GQM: Template","aulas/Aula 4 - Entidades, Atributos e Objetivos de Medição.pdf"
"5","Aula 5 - Medições de Produto, Processo e Recurso.pdf","5","Aula 5 - Medições de Produto, Processo e Recurso","Medições de Produto, Processo e Recurso","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","117","Objetivos da Aula; Size; Code Size; Design Size; Requirement Size; Functional Size; M´etricas inspiradas em Normas; ISO/IEC 25010; ISO/IEC 15939; ISO/IEC 1061; IEEE Std 982.1 (1988); ISO/IEC 12207; SPICE/ISO/IEC 15504; CMMI; M´etricas Diversas; COCOMO; McCall’s Quality Model; CK Metrics; M´etricas de Halstead; M´etricas de Fenton & Pfleeger","aulas/Aula 5 - Medições de Produto, Processo e Recurso.pdf"
"6","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf","7","Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese","Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","46","Variáveis Aleatórias Discretas; Variáveis Aleatórias Contínuas; Teste de Hipótese Estatística","aulas/Aula 7 - Variáveis aleatórias, Distribuição de Probabilidade e Testes de Hipótese.pdf"
"7","Aula 8 - Processo de Experimentos.pdf","8","Aula 8 - Processo de Experimentos","Processo de Experimentos","Prof. Danilo de Quadros Maia Filho","Medição e Experimentação em Engenharia de Software","58","Tipos de Pesquisa; Estratégias Empíricas; Experiment Process; Escopo e Objetivo; Etapas do Planejamento; Ameaças à Validade; Operação do Experimento; Analysis and Interpretation; Exemplo Experimento","aulas/Aula 8 - Processo de Experimentos.pdf"
