"artigo_id","artigo_titulo","artigo_arquivo","aula_arquivo","score_relevancia","total_temas_aula","percentual_match"
"22","An Empirical Investigation of Factors Causing Scope Creep in Agile Global Software Development Context: A Conceptual Model for Project Managers","An_Empirical_Investigation_of_Factors_Causing_Scop.pdf","Aula 2 - Escopo e Normas de Medição de Software.pdf","3","12","25.0"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","3","16","18.8"
"29","Experimentation in Software Engineering","Experimentation in Software Engineering.pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","3","16","18.8"
"30","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO CONTEXTO DA EXPERIMENTAÇÃO CONTÍNUA EM ENGENHARIA DE SOFTWARE.pdf","Aula 4 - Entidades, Atributos e Objetivos de Medição.pdf","3","7","42.9"
"32","Microsoft Word - 725final","Impact_of_CMMI_based_software_process_maturity_on_.pdf","Aula 2 - Escopo e Normas de Medição de Software.pdf","3","12","25.0"
"32","Microsoft Word - 725final","Impact_of_CMMI_based_software_process_maturity_on_.pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","3","16","18.8"
"35","LLM4DS: Evaluating Large Language Models for","LLM4DS Evaluating Large Language Models for Data Science Code Generation.pdf","Aula 2 - Escopo e Normas de Medição de Software.pdf","3","12","25.0"
"36","Received August 6, 2020, accepted August 13, 2020, date of publication August 20, 2020, date of current version September 2, 2020.","Measuring_the_Impact_of_Scope_Changes_on_Project_Plan_Using_EVM.pdf","Aula 5 - Medições de Produto, Processo e Recurso.pdf","3","16","18.8"
"37","Sigmae, Alfenas, v.11, n.2, p. 21-35, 2022.","Medição e Análise no CMMI com Metodologia Seis Sigma eISOIECIEEE1593.pdf","Aula 4 - Entidades, Atributos e Objetivos de Medição.pdf","3","7","42.9"
"38","Metrics for Evaluating and Improving Transparency in Software Engineering: An Empirical Study and Improvement Model","Metrics for Evaluating and Improving Transparency in Software Engineering An Empirical Study and Improvement Model.pdf","Aula 2 - Escopo e Normas de Medição de Software.pdf","3","12","25.0"
