"id","title","article_authors","year","doi","abstract","keywords","venue_type","in_statistical_test","cohort","arquivo","num_paginas","num_referencias","tamanho_amostra","metodologia","areas_pesquisa","metricas_mencionadas","metodos_estatisticos","ferramentas_tecnologias","padroes_normas","contexto_dominio","idioma","veiculo_publicacao","caminho_pdf"
"1","A Review and Analysis of Software Complexity Metrics in Structural Testing","","","","Software metrics is developed and used by the various software organizations for evaluating and assuring software code quality, operation, and maintenance. Software metrics measure various types of software complexity like size metrics, control flow metrics and data flow metrics. These software complexities must be continuously calculated, followed, and controlled. One of the main objectives of software metrics is that applies to a process and product metrics. It is always considered that high degree of complexity in a module is bad in comparison to a low degree of complexity in a module. S...","","conference","True","","A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf","5","17","","","Métricas de Software; Qualidade de Software; Manutenção de Software; Processo de Software","LOC/SLOC; Complexidade Ciclomática; Function Points; Code Coverage; Halstead","Precisão/Recall/F1","","","Indústria","EN","","../data/teste/raw/artigos/A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf"
"2","An External Replication on the Effects of Test-driven","","","10.1145/2961111.2962592","Context: Test-driven development (TDD) is an agile prac- tice claimed to improve the quality of a software product, as well as the productivity of its developers. A previous study (i.e., baseline experiment) at the University of Oulu (Finland) compared TDD to a test-last development (TLD) approach through a randomized controlled trial. The results failed to support the claims. Goal: We want to validate the original study results by replicating it at the Univer- sity of Basilicata (Italy), using a diﬀerent design. Method: We replicated the baseline experiment, using a crossover de- sign, with 2","test-driven development, external experiment replication, blind analysis","conference","True","","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","10","45","36","Revisão Sistemática; Experimento Controlado; Survey/Questionário; Meta-análise; Replicação","Qualidade de Software; Teste de Software; Experimentação; Métodos Ágeis; Produtividade","","Mann-Whitney; Kruskal-Wallis; Correlação de Pearson; Descritiva; Box Plot; Precisão/Recall/F1","Java; Eclipse; JUnit","","Indústria; Acadêmico","EN","","../data/teste/raw/artigos/An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf"
"3","Process metrics for software defect prediction in object‐oriented programs","","2018","10.1049/iet-sen.2018.5439","Software evolution is an important activity in the life cycle of a modern software system. In the process of software evolution, the repair of historical defects and the increasing demands may introduce new defects. Therefore, evolution-oriented defect prediction has attracted much attention of researchers in recent years. At present, some researchers have proposed the process metrics to describe the characteristics of software evolution. However, compared with the traditional software defect prediction methods, the research on evolution-oriented defect prediction is still inadequate. Based...","","","True","","Process metrics for software defectprediction in object-oriented programs.pdf","10","57","","Estudo Empírico","Métricas de Software; Segurança de Software; Predição de Defeitos","Code Churn; Halstead; Defect Density","Wilcoxon; Correlação de Pearson; Regressão Linear; Regressão Logística; Effect Size; Bayesiana; ROC/AUC; Precisão/Recall/F1","Java; Weka; Eclipse","","Open Source; Acadêmico; Educação","EN","","../data/teste/raw/artigos/Process metrics for software defectprediction in object-oriented programs.pdf"
"4","Source Code Metrics for Software Defects Prediction","Dominik Arne Rebro, Bruno Rossi, and Stanislav Chren","2023","10.1145/3555776.3577809","In current research, there are contrasting results about the ap- plicability of software source code metrics as features for defect prediction models. The goal of the paper is to evaluate the adop- tion of software metrics in models for software defect prediction, identifying the impact of individual source code metrics. With an empirical study on 275 release versions of 39 Java projects mined from GitHub, we compute 12 software metrics and collect software defect information. We train and compare three defect classifica- tion models. The results across all projects indicate that Decision T...","Software Defect Prediction, Software Metrics, Mining Software Repositories, Software Quality Accepted version of Dominik Arne Rebro, Bruno Rossi, and Stanislav Chren","conference","True","","Source Code Metrics for Software Defects Prediction.pdf","6","30","39","Estudo Empírico; Machine Learning; Replicação; Mineração de Repositórios","Métricas de Software; Qualidade de Software; Predição de Defeitos","LOC/SLOC; Complexidade Ciclomática; Complexidade Cognitiva; Code Churn; Coupling/Acoplamento; Cohesion/Coesão; WMC; DIT; NOC; RFC; CK Metrics","Mann-Whitney; ANOVA; Kruskal-Wallis; Regressão Linear; Regressão Logística; Bayesiana; Descritiva; Box Plot; Random Forest; K-fold/Cross-validation; ROC/AUC; Precisão/Recall/F1","GitHub; Python; Java; scikit-learn","","Open Source; Acadêmico; Educação","EN","","../data/teste/raw/artigos/Source Code Metrics for Software Defects Prediction.pdf"
"5","Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models","Laura Diana Cernău; Laura Dioșan; Camelia Șerban;","2025","","The complex software systems developed nowadays require assessing their quality and proneness to errors. Reducing code complexity is a never-ending problem, especially in today’s fast pace of software systems development. Therefore, the industry needs to find a method to determine the qualities of a software system, the degree of difficulty in developing new functionalities, or the system’s proneness to errors. One way of measuring and predicting the quality attributes of a software system is to analyse the software metrics values for it and the relationships between them. More precisely, w...","software metrics, code complexity, bug prediction Preprint submitted to Elsevier April 2, 2025 arXiv:2504.00477v1 [cs.SE]","preprint","True","","Unveiling Hybrid Cyclomatic Complexity A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models.pdf","23","21","","","Métricas de Software; Qualidade de Software; Manutenção de Software; Predição de Defeitos","LOC/SLOC; Complexidade Ciclomática","Correlação de Pearson; Bayesiana; Random Forest; SVM; Precisão/Recall/F1","GitHub; Python; Java; scikit-learn; Checkstyle","","Open Source; Indústria; Acadêmico","EN","","../data/teste/raw/artigos/Unveiling Hybrid Cyclomatic Complexity A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models.pdf"
